Disease,Medication
Fungal infection,"['Antifungal Cream (e.g., Clotrimazole)', 'Oral Antifungal (e.g., Fluconazole)', 'Topical Cream (e.g., Ketoconazole)', 'Antifungal Powder (e.g., Clocip)', 'Itraconazole Capsules']"
Allergy,"['Antihistamine (e.g., Cetirizine)', 'Decongestant (e.g., Pseudoephedrine)', 'Corticosteroid Cream (e.g., Hydrocortisone)', 'Eye Drops (e.g., Olopatadine)', 'Epinephrine Auto-Injector (for severe reactions)']"
GERD,"['Proton Pump Inhibitor (e.g., Omeprazole)', 'H2 Blocker (e.g., Ranitidine)', 'Antacid Syrup (e.g., Gelusil)', 'Prokinetic Agent (e.g., Domperidone)', 'Lifestyle Changes (Avoid Spicy Food)']"
Chronic cholestasis,"['Ursodeoxycholic Acid (UDCA)', 'Cholestyramine (for itching)', 'Vitamin K Supplement', 'Antihistamine (e.g., Diphenhydramine)', 'Rifampicin (for pruritus)']"
Drug Reaction,"['Antihistamine (e.g., Levocetirizine)', 'Oral Corticosteroid (e.g., Prednisone)', 'Topical Steroid (e.g., Betamethasone)', 'Calamine Lotion (for soothing)', 'Epinephrine (for anaphylaxis)']"
Peptic ulcer disease,"['Proton Pump Inhibitor (e.g., Pantoprazole)', 'Antibiotics (e.g., Amoxicillin + Clarithromycin)', 'H2 Blocker (e.g., Famotidine)', 'Antacid (e.g., Digene)', 'Sucralfate Suspension']"
AIDS,"['Antiretroviral Therapy (ART)', 'Protease Inhibitor (e.g., Ritonavir)', 'Integrase Inhibitor (e.g., Dolutegravir)', 'Nucleoside Reverse Transcriptase Inhibitor (e.g., Tenofovir)', 'Prophylactic Antibiotics (e.g., Co-trimoxazole)']"
Diabetes,"['Insulin Injection', 'Metformin Tablets', 'Sulfonylurea (e.g., Glimepiride)', 'DPP-4 Inhibitor (e.g., Sitagliptin)', 'SGLT2 Inhibitor (e.g., Dapagliflozin)']"
Gastroenteritis,"['Oral Rehydration Salts (ORS)', 'Probiotic (e.g., Lactobacillus)', 'Antiemetic (e.g., Ondansetron)', 'Antidiarrheal (e.g., Loperamide - caution)', 'Zinc Supplement']"
Bronchial Asthma,"['Inhaler (e.g., Salbutamol)', 'Inhaled Corticosteroid (e.g., Budesonide)', 'Leukotriene Modifier (e.g., Montelukast)', 'Long-acting Beta Agonist (e.g., Formoterol)', 'Oral Steroid (e.g., Prednisolone - for flare-ups)']"
Hypertension,"['ACE Inhibitor (e.g., Enalapril)', 'Calcium Channel Blocker (e.g., Amlodipine)', 'Diuretic (e.g., Hydrochlorothiazide)', 'Beta-Blocker (e.g., Atenolol)', 'ARB (e.g., Telmisartan)']"
Migraine,"['Pain Reliever (e.g., Ibuprofen)', 'Triptan (e.g., Sumatriptan)', 'Anti-nausea Medication (e.g., Metoclopramide)', 'Preventive Medication (e.g., Propranolol)', 'Ergotamine Tartrate']"
Cervical spondylosis,"['NSAID (e.g., Naproxen)', 'Muscle Relaxant (e.g., Cyclobenzaprine)', 'Topical Analgesic Gel (e.g., Volini)', 'Corticosteroid Injection', 'Gabapentin (for nerve pain)']"
Paralysis (brain hemorrhage),"['Blood Pressure Medication (e.g., Labetalol)', 'Anti-seizure Medication (e.g., Levetiracetam)', 'Muscle Relaxant (e.g., Baclofen)', 'Stool Softener', 'Pain Management']"
Jaundice,"['Liver Support Supplement (e.g., Silymarin)', 'Vitamin K Injection', 'Antihistamine (for itching)', 'IV Fluids (Dextrose)', 'Ursodeoxycholic Acid']"
Malaria,"['Antimalarial (e.g., Artemether + Lumefantrine)', 'Chloroquine Phosphate', 'Primaquine', 'Antipyretic (e.g., Paracetamol)', 'IV Fluids']"
Chicken pox,"['Antiviral (e.g., Acyclovir)', 'Antihistamine (e.g., Diphenhydramine)', 'Calamine Lotion', 'Paracetamol (for fever)', 'Cool Compresses']"
Dengue,"['Paracetamol (for fever/pain)', 'IV Fluids (Normal Saline)', 'Oral Rehydration Salts (ORS)', 'Papaya Leaf Extract (Supplement)', 'Avoid NSAIDs (Aspirin/Ibuprofen)']"
Typhoid,"['Antibiotic (e.g., Ciprofloxacin)', 'Antibiotic (e.g., Azithromycin)', 'Antipyretic (e.g., Paracetamol)', 'IV Fluids', 'Oral Rehydration Salts (ORS)']"
hepatitis A,"['Supportive Care (Rest)', 'IV Fluids', 'Antiemetic (e.g., Ondansetron)', 'Avoid Alcohol', 'Nutritious Diet']"
Hepatitis B,"['Antiviral (e.g., Entecavir)', 'Antiviral (e.g., Tenofovir)', 'Interferon Injection', 'Liver Support Supplement', 'Vitamin B Complex']"
Hepatitis C,"['Direct-Acting Antiviral (e.g., Sofosbuvir)', 'Antiviral (e.g., Velpatasvir)', 'Ribavirin', 'Liver Support Supplement', 'Avoid Alcohol']"
Hepatitis D,"['Pegylated Interferon Alpha', 'Antiviral (e.g., Tenofovir - for co-infection)', 'Liver Support Supplement', 'Vitamin D Supplement', 'Regular Monitoring']"
Hepatitis E,"['Supportive Care (Hydration)', 'Rest', 'Avoid Alcohol', 'Nutritious Diet', 'Avoid Hepatotoxic Drugs']"
Alcoholic hepatitis,"['Corticosteroid (e.g., Prednisolone)', 'Pentoxifylline', 'Nutritional Supplement (High Protein)', 'Vitamin B1 (Thiamine)', 'Complete Alcohol Cessation']"
Tuberculosis,"['Antibiotic (e.g., Isoniazid)', 'Antibiotic (e.g., Rifampicin)', 'Antibiotic (e.g., Pyrazinamide)', 'Antibiotic (e.g., Ethambutol)', 'Vitamin B6 (Pyridoxine)']"
Common Cold,"['Decongestant (e.g., Phenylephrine)', 'Cough Suppressant (e.g., Dextromethorphan)', 'Antihistamine (e.g., Chlorpheniramine)', 'Pain Reliever (e.g., Paracetamol)', 'Saline Nasal Spray']"
Pneumonia,"['Antibiotic (e.g., Azithromycin)', 'Antibiotic (e.g., Amoxicillin)', 'Cough Medicine', 'Fever Reducer (e.g., Ibuprofen)', 'Oxygen Therapy (if severe)']"
Dimorphic hemmorhoids(piles),"['Stool Softener (e.g., Lactulose)', 'Topical Cream (e.g., Anovate)', 'Pain Reliever (e.g., Paracetamol)', 'Sitz Bath (Warm Water)', 'Fiber Supplement (e.g., Psyllium Husk)']"
Heart attack,"['Aspirin (Chewable)', 'Nitroglycerin (Sublingual)', 'Beta-Blocker (e.g., Metoprolol)', 'ACE Inhibitor (e.g., Ramipril)', 'Statin (e.g., Atorvastatin)']"
Varicose veins,"['Compression Stockings', 'Flavonoid Supplement (e.g., Diosmin)', 'Pain Reliever (e.g., Ibuprofen)', 'Topical Gel (e.g., Heparin)', 'Sclerotherapy (Procedure)']"
Hypothyroidism,"['Levothyroxine Sodium', 'Vitamin D Supplement', 'Calcium Supplement', 'Selenium Supplement', 'Regular TSH Monitoring']"
Hyperthyroidism,"['Antithyroid Drug (e.g., Methimazole)', 'Antithyroid Drug (e.g., Propylthiouracil)', 'Beta-Blocker (e.g., Propranolol)', 'Radioactive Iodine', 'Vitamin D & Calcium']"
Hypoglycemia,"['Glucose Tablets', 'Fruit Juice', 'Glucagon Injection (Emergency)', 'Complex Carbohydrate Snack', 'Regular Meal Schedule']"
Osteoarthristis,"['NSAID (e.g., Diclofenac)', 'Topical Gel (e.g., Diclofenac Gel)', 'Glucosamine Sulfate', 'Chondroitin Sulfate', 'Intra-articular Steroid Injection']"
Arthritis,"['DMARD (e.g., Methotrexate)', 'NSAID (e.g., Naproxen)', 'Corticosteroid (e.g., Prednisone)', 'Biologic Agent (e.g., Etanercept)', 'Physical Therapy']"
(vertigo) Paroymsal Positional Vertigo,"['Vestibular Suppressant (e.g., Meclizine)', 'Antiemetic (e.g., Prochlorperazine)', 'Benzodiazepine (e.g., Diazepam)', 'Epley Maneuver (Exercise)', 'Vitamin D Supplement']"
Acne,"['Topical Retinoid (e.g., Tretinoin)', 'Benzoyl Peroxide Gel', 'Topical Antibiotic (e.g., Clindamycin)', 'Oral Antibiotic (e.g., Doxycycline)', 'Isotretinoin (Severe cases)']"
Urinary tract infection,"['Antibiotic (e.g., Nitrofurantoin)', 'Antibiotic (e.g., Trimethoprim)', 'Urinary Analgesic (e.g., Phenazopyridine)', 'Cranberry Extract', 'Increased Water Intake']"
Psoriasis,"['Topical Corticosteroid (e.g., Clobetasol)', 'Vitamin D Analogue (e.g., Calcipotriene)', 'Coal Tar Preparation', 'Salicylic Acid Ointment', 'Moisturizer']"
Impetigo,"['Topical Antibiotic (e.g., Mupirocin)', 'Oral Antibiotic (e.g., Cephalexin)', 'Antiseptic Wash', 'Warm Compresses', 'Cover Sores']"
